,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-2.6311193348126986e-06,-2.627267574332206e-06,-2.9041374365012996e-06,-3.457616997978043e-06,-4.279486275878442e-06,-5.357539306572679e-06,-6.6757654221389395e-06,-8.214587032253465e-06,-9.951150380107269e-06,-1.1859664954198538e-05,-1.3911786515236887e-05,-1.6077038049649157e-05,-1.8323262397909825e-05,-2.061709983550273e-05,-2.2924483513734424e-05,-2.5211145402379654e-05,-2.7443125220165977e-05,-2.9587274794737136e-05,-3.161175036160667e-05,-3.3486485490743606e-05,-3.5183637617135365e-05,-3.667800154369536e-05,-3.794738377539007e-05,-3.8972932125175825e-05,-3.9739415696613694e-05,-4.023545108500981e-05,-4.045367143766307e-05,-4.0390835862427475e-05,-4.0047877559711684e-05,-3.942988996308482e-05,-3.8546051094320994e-05,-3.7409487256321276e-05,-3.6037078088272245e-05,-3.444920587825903e-05,-3.266945285640651e-05,-3.0724250964191404e-05,-2.8642489301361375e-05,-2.645508508045341e-05,-2.419452446086289e-05,-2.1894380081752297e-05,-1.9588812459142396e-05,-1.731206265217048e-05,-1.5097943733164437e-05,-1.2979338613950466e-05,-1.0987711686404538e-05,-9.152641530108035e-06,-7.501381627078283e-06,-6.058455607607482e-06,-4.845293038401318e-06,-3.879911162097928e-06,-3.1766473148015686e-06,-2.7459459956230854e-06,-2.594203750556491e-06,-2.7236741743938407e-06,-3.13243444153862e-06,-3.814413862784904e-06,-4.759484043951472e-06,-5.953609307383613e-06,-7.379055142342444e-06,-9.014651588488062e-06,-1.0836107640825418e-05,-1.2816372006739418e-05,-1.492603485734604e-05,-1.7133764606567344e-05,-1.9406773231115333e-05,-2.1711303220705247e-05,-2.4013128926571437e-05,-2.6278064862525996e-05,-2.847247340954416e-05,-3.0563764383719886e-05,-3.25208790482725e-05,-3.431475138132097e-05,-3.591873974891906e-05,-3.730902257237506e-05,-3.84649521136188e-05,-3.9369361124380394e-05,-4.000881780499457e-05,-4.0373825286316446e-05,-4.045896267215071e-05,-4.026296554750713e-05,-3.9788744757016575e-05,-3.9043343174621335e-05,-3.8037831106572054e-05,-3.6787141881150754e-05,-3.5309850066854205e-05,-3.362789561282119e-05,-3.176625800842423e-05,-2.9752585301232603e-05,-2.761678348297419e-05,-2.539057234171637e-05,-2.3107014376512504e-05,-2.0800023770821043e-05,-1.850386271716397e-05,-1.6252632573339968e-05,-1.4079767407267575e-05,-1.2017537452063889e-05,-1.009656984577427e-05,-8.34539377347335e-06,-6.7900167670431705e-06,-5.453538455197938e-06,-4.3558075001337384e-06
2,-1.0929798119539488e-05,-1.0926764357925739e-05,-1.2082977864912356e-05,-1.4381267174922013e-05,-1.7787499322429582e-05,-2.2251086766538755e-05,-2.770573869012565e-05,-3.407044551565444e-05,-4.125068201616251e-05,-4.913981115345539e-05,-5.762066779445229e-05,-6.656729878517479e-05,-7.584683353972927e-05,-8.53214573632969e-05,-9.485045820238379e-05,-0.00010429231642510081,-0.00011350680659516019,-0.0001223570800251777,-0.000130711697180296,-0.00013844657974796786,-0.00014544685338279504,-0.00015160855375896237,-0.00015684017059288647,-0.00016106400670507987,-0.000164217331937171,-0.000166253314786717,-0.0001671417179236695,-0.0001668693472590536,-0.00016544024789653188,-0.00016287564405668468,-0.00015921362386621963,-0.00015450857369345427,-0.00014883037043101496,-0.00014226334372154426,-0.00013490502353887926,-0.00012686469172496463,-0.00011826175899429057,-0.00010922399150972976,-9.98856133677138e-05,-9.038531317363001e-05,-8.086418431271525e-05,-7.146362950644396e-05,-6.232326077481646e-05,-5.3578825993197906e-05,-4.53601928373565e-05,-3.778942005809942e-05,-3.0978944729883374e-05,-2.5029912395428036e-05,-2.003067490612793e-05,-1.6055478267536402e-05,-1.3163359977339059e-05,-1.1397272231964814e-05,-1.0783444023501025e-05,-1.1330991600710222e-05,-1.303178307937081e-05,-1.5860559212679873e-05,-1.9775308528097316e-05,-2.471789125930193e-05,-3.061490280695344e-05,-3.7378763904603263e-05,-4.49090212991914e-05,-5.3093839629119894e-05,-6.181166234331733e-05,-7.09330169942296e-05,-8.03224380934663e-05,-8.984047897289686e-05,-9.934578277209937e-05,-0.00010869718179496573,-0.00011775579405693898,-0.0001263870858860863,-0.00013446286994534695,-0.00014186320900241433,-0.00014847819717346165,-0.00015420959218663408,-0.0001589722744238136,-0.0001626955110717284,-0.00016532400660792545,-0.0001668187240203414,-0.0001671574645641596,-0.0001663351974457139,-0.00016436413453714904,-0.0001612735490122181,-0.00015710934059673696,-0.00015193335389036724,-0.00014582245988364867,-0.00013886741431109662,-0.00013117150979549788,-0.00012284904180103587,-0.00011402361117809166,-0.00010482628850941782,-9.539366751983705e-05,-8.58658364591812e-05,-7.638429758641557e-05,-6.708986565365315e-05,-5.8120576600647504e-05,-4.960963751873334e-05,-4.1683448330237356e-05,-3.4459724564330724e-05,-2.8045749108851288e-05,-2.2536778902143273e-05,-1.8014630227877075e-05
3,-2.555315618952314e-05,-2.55958554479553e-05,-2.832241617069546e-05,-3.369234493389749e-05,-4.162589042316053e-05,-5.2005227857462344e-05,-6.467620885988875e-05,-7.945065078700979e-05,-9.610913151700718e-05,-0.00011440424818985831,-0.00013406429150249557,-0.00015479728099027955,-0.00017629530136493852,-0.00019823907550800622,-0.0002203027062040812,-0.00024215851619224446,-0.0002634819146537481,-0.0002839562178615305,-0.00030327735239781093,-0.00032115837109011615,-0.0003373337145974523,-0.0003515631553558283,-0.0003636353653097496,-0.00037337105444364886,-0.00038062563350145507,-0.0003852913613490125,-0.00038729894508786984,-0.00038661856915640487,-0.0003832603381346252,-0.00037727412667634073,-0.00036874883879743886,-0.00035781108752091736,-0.00034462331448787667,-0.0003293813774610152,-0.0003123116415497228,-0.0002936676173563637,-0.00027372619597217947,-0.00025278353673867035,-0.00023115066884720403,-0.00020914887209955846,-0.0001871049054318726,-0.00016534615406541974,-0.00014419576735612177,-0.00012396785955289344,-0.00010496284474054,-8.746297525020702e-05,-7.172814979847724e-05,-5.799205361042157e-05,-4.645868785142611e-05,-3.729933991082236e-05,-3.0650039533050146e-05,-2.660953857653402e-05,-2.523784440381589e-05,-2.6555328684252408e-05,-3.054242484485855e-05,-3.7139918662602584e-05,-4.6249827682424236e-05,-5.7736856400334584e-05,-7.143040559999168e-05,-8.712710600116062e-05,-0.00010459383859166138,-0.0001235711967864553,-0.00014377733899570866,-0.00016491217438559472,-0.00018666181966709404,-0.0002087032607229917,-0.00023070914984105336,-0.00025235266730744006,-0.0002733123751585727,-0.0002932769910061226,-0.0003119500110368024,-0.00032905411352867746,-0.0003443352774852857,-0.00035756655521981904,-0.00036855144286098796,-0.00037712679872357364,-0.00038316526620162214,-0.0003865771652007455,-0.0003873118240189935,-0.00038535833189591194,-0.00038074570105333007,-0.00037354243582133614,-0.00036385551524854745,-0.00035182880430640766,-0.00033764091728345807,-0.00032150256510130406,-0.00030365342594853,-0.0002843585857082322,-0.0002639046010440413,-0.00024259524361357787,-0.00022074698861401245,-0.00019868431466143127,-0.00017673488480771164,-0.0001552246802638521,-0.0001344731591010916,-0.0001147885118302417,-9.646308432079067e-05,-7.976903603616566e-05,-6.495429806671816e-05,-5.2238890989567e-05,-4.1811657240480433e-05
4,-4.722206092105538e-05,-4.742703705030497e-05,-5.252517144695787e-05,-6.244074934140475e-05,-7.702650986576491e-05,-9.606583309365742e-05,-0.00011927595716367217,-0.0001463121777075369,-0.00017677296721531626,-0.00021020593830757778,-0.00024611456235116745,-0.00028396554363731817,-0.0003231967396047289,-0.00036322550948070644,-0.0004034573673507736,-0.00044329481114602123,-0.00048214619642475095,-0.0005194345231597959,-0.0005546060050347871,-0.0005871382939828052,-0.0006165482378209281,-0.0006423990557684477,-0.0006643068252817773,-0.0006819461838670484,-0.0006950551611901302,-0.000703439069720132,-0.0007069733961246489,-0.0007056056504752824,-0.0006993561458000289,-0.0006883176964050337,-0.0006726542394460792,-0.0006525984002214943,-0.0006284480373454427,-0.0006005618191108503,-0.0005693538967394428,-0.0005352877536289733,-0.0004988693219452889,-0.00046063946878798667,-0.0004211659635210734,-0.0003810350455655667,-0.0003408427178846706,-0.0003011858954660401,-0.0002626535402591298,-0.00022581791422685753,-0.00019122608041649254,-0.00015939177827143866,-0.00013078779384735013,-0.00010583893824610905,-8.491573854819166e-05,-6.832893494233472e-05,-5.6324865778190234e-05,-4.908180908070346e-05,-4.67073348600871e-05,-4.9236707539476214e-05,-5.663236222654329e-05,-6.878446260722288e-05,-8.5512532175992e-05,-0.0001065681345765545,-0.0001316385632459385,-0.00016035148556538034,-0.00019228047254554872,-0.00022695133192218568,-0.0002638491506063724,-0.0003024259418987845,-0.0003421087838954982,-0.00038230832821817273,-0.0004224275527014458,-0.00046187062804731865,-0.0005000517667637086,-0.0005364039229674783,-0.0005703872138470606,-0.0006014969377136956,-0.0006292710695613931,-0.0006532971228155812,-0.0006732182753634611,-0.0006887386688854654,-0.0006996278027850346,-0.0007057239574603876,-0.0007069365960776879,-0.0007032477091757515,-0.0006947120821329456,-0.0006814564815240099,-0.0006636777724505793,-0.0006416399948058196,-0.0006156704418949403,-0.000586154799649799,-0.0005535314186274024,-0.0005182848038615162,-0.00048093841925263444,-0.0004420469133616627,-0.00040218788206568214,-0.00036195329041241556,-0.00032194068107146273,-0.00028274429994966995,-0.00024494627076823114,-0.00020910794967206363,-0.00017576158826810206,-0.0001454024289086615,-0.0001184813496164841,-9.539816788511907e-05,-7.649570280301402e-05
5,-7.671357107547354e-05,-7.730255274646793e-05,-8.570592616784255e-05,-0.00010179888892502021,-0.0001253424369289179,-0.0001559869139770474,-0.00019327720466071765,-0.00023665949349604583,-0.0002854894898957782,-0.00033904199682904503,-0.0003965216810603957,-0.0004570748850142946,-0.0005198023048415682,-0.000583772346399954,-0.0006480349607927997,-0.0007116357539879626,-0.0007736301609682961,-0.0008330974739069046,-0.0008891545160281016,-0.0009409687580772679,-0.0009877706826007587,-0.0010288652124082027,-0.001063642033487747,-0.001091584659063852,-0.0011122781001830751,-0.0011254150289083987,-0.0011308003425896313,-0.0011283540614237851,-0.0011181125162723995,-0.0011002278090949855,-0.0010749655540119468,-0.0010427009325455073,-0.0010039131216240866,-0.0009591781771024519,-0.0009091604784877717,-0.0008546028619299768,-0.0007963155880159206,-0.0007351643082118487,-0.0006720572086700771,-0.0006079315223332417,-0.0005437396096511244,-0.0004804348146318255,-0.0004189573062856307,-0.00036022011573696945,-0.00030509557637367233,-0.0002544023684173672,-0.00020889336032199168,-0.00016924442757355928,-0.00013604441494836298,-0.00010978639130480698,-9.086032678802467e-05,-7.954730120153114e-05,-7.601532956007812e-05,-8.031686682038155e-05,-9.238802884810935e-05,-0.00011204954119093611,-0.0001390094015669701,-0.00017286721652671455,-0.00021312014788276457,-0.00025917038059404746,-0.0003103340011955706,-0.00036585115491600287,-0.0004248973306349345,-0.00048659560608178685,-0.0005500296714170538,-0.0006142574377767373,-0.0006783250286730676,-0.0007412809464587222,-0.0008021902034617709,-0.0008601482079233064,-0.0009142941985111502,-0.0009638240278875391,-0.0010080021054759563,-0.0010461723220595402,-0.0010777677939648365,-0.001102319282115372,-0.0011194621609198496,-0.0011289418334967172,-0.0011306175128110937,-0.0011244643125686304,-0.001110573616813462,-0.0010891517227411894,-0.0010605167768830918,-0.0010250940501637313,-0.000983409622004291,-0.0009360825672719352,-0.0008838157621104769,-0.0008273854451992295,-0.0007676296894706626,-0.0007054359554987455,-0.0006417279114084203,-0.0005774517150498408,-0.0005135619621672573,-0.000451007509252791,-0.00039071738163647633,-0.00033358697609820354,-0.00028046476291287785,-0.0002321396848229875,-0.00018932944008229747,-0.00015266982358464132,-0.00012270528437767709
6,-0.00011484621895174129,-0.00011618057281571969,-0.00012897682471419954,-0.00015304493154729847,-0.00018802744664491653,-0.00023340482837380018,-0.0002885031560924444,-0.0003525041388605753,-0.0004244572682592147,-0.0005032939348341555,-0.0005878432985129184,-0.0006768496772962669,-0.0007689911959767094,-0.0008628994179232112,-0.0009571796683712525,-0.0010504317473876885,-0.001141270724892405,-0.0012283475089003408,-0.001310368881515192,-0.001386116705111034,-0.001454466013461839,-0.0015144017191391287,-0.0015650336890483895,-0.0016056099642104524,-0.0016355279274547093,-0.001654343253167518,-0.0016617765061789445,-0.001657717291784686,-0.0016422258952692715,-0.0016155323865812007,-0.0015780332034569342,-0.001530285263739336,-0.0014729976943312604,-0.0014070212996214818,-0.001333335925792235,-0.0012530359086669889,-0.0011673138212191499,-0.00107744276211513,-0.0009847574483327886,-0.0008906343926576302,-0.0007964714604499841,-0.0007036671092951518,-0.0006135996198581099,-0.0005276066263951503,-0.00044696525092413657,-0.00037287313609035087,-0.0003064306584174485,-0.0002486245861029473,-0.00020031342406389964,-0.0001622146638803147,-0.00013489412799335857,-0.0001187575664126132,-0.00011404463073360469,-0.00012082531496029014,-0.00013899891599147856,-0.00016829552920952345,-0.0002082800569595645,-0.00025835867038755545,-0.00031778762866929364,-0.00038568432465197643,-0.0004610403928643111,-0.0005427366852220391,-0.0006295598920175996,-0.0007202205613480526,-0.0008133722493661095,-0.0009076315169451656,-0.0010015984757784327,-0.0010938775787725202,-0.0011830983459676255,-0.0012679357181740736,-0.0013471297360437592,-0.0014195042523135995,-0.00148398439931661,-0.0015396125523424655,-0.0015855625517683693,-0.0016211519727405584,-0.0016458522601838239,-0.0016592965786192343,-0.0016612852602087731,-0.001651788770115448,-0.001630948145138911,-0.0015990728991122356,-0.0015566364261677427,-0.001504268970140142,-0.0014427482645216658,-0.0013729879819795478,-0.0012960241649774865,-0.001212999839026227,-0.0011251480370790606,-0.0010337734871848534,-0.0009402332353638091,-0.0008459164914846281,-0.0007522239974614141,-0.0006605472241827818,-0.0005722477061292289,-0.0004886368205901542,-0.0004109563117886209,-0.00034035984915925846,-0.0002778958936658925,-0.00022449212661919686,-0.00018094167224925713
7,-0.00016245743030783916,-0.00016507205297783677,-0.0001835222990570386,-0.00021753415534327383,-0.000266602495909616,-0.00032999858396490716,-0.0004067808946634344,-0.0004958090981291488,-0.0005957609950260307,-0.0007051521531565832,-0.0008223579534561181,-0.0009456377179675378,-0.0010731605614608104,-0.0012030325827627304,-0.0013333249919657401,-0.0014621027557856867,-0.0015874533356427844,-0.0017075150916633442,-0.0018205049307610005,-0.0019247447881830674,-0.002018686549232129,-0.0021009350410388355,-0.002170268752924306,-0.0022256579776244404,-0.002266280103952337,-0.002291531833780357,-0.002301038141901745,-0.0022946578457047344,-0.0022724857019413088,-0.002234850999450519,-0.0021823126687364855,-0.002115650981031037,-0.0020358559601220305,-0.0019441126790487521,-0.0018417836600299557,-0.0017303886390115056,-0.0016115819953596146,-0.0014871281819019892,-0.0013588755202166452,-0.001228728750346859,-0.0010986207426191927,-0.0009704837916855784,-0.0008462209191149761,-0.0007276776107333419,-0.0006166144084535461,-0.000514680763647107,-0.0004233905403732067,-0.0003440995322781099,-0.0002779853270719328,-0.0002260298176248183,-0.0001890046194183654,-0.00016745961092454845,-0.00016171476710428697,-0.0001718554073102039,-0.00019773092816915093,-0.0002389570402630948,-0.00029492147539032955,-0.00036479307964585775,-0.00044753415727534035,-0.0005419158819783038,-0.0006465365467801436,-0.0007598423814356168,-0.000880150628194728,-0.0010056745332223177,-0.0011345498825118035,-0.0012648626881961317,-0.0013946776140734893,-0.001522066718187084,-0.0016451380855895393,-0.001762063926053433,-0.0018711077194356234,-0.001970650005547166,-0.0020592124355112247,-0.0021354797274110862,-0.002198319200154888,-0.0022467975954502785,-0.0022801949380582285,-0.0022980152284808055,-0.00229999380928085,-0.0022861012956329014,-0.0022565440117309245,-0.0022117609265715835,-0.0021524171346210975,-0.0020793939781873876,-0.001993775958194789,-0.0018968346277554397,-0.0017900097077414821,-0.0016748877048194974,-0.0015531783495006974,-0.0014266892041363863,-0.001297298817967181,-0.0011669288279128245,-0.0010375154194468548,-0.0009109805714039084,-0.0007892035117763503,-0.0006739928084237307,-0.0005670595091886927,-0.0004699917303281309,-0.00038423107065861575,-0.0003110512017005961,-0.00025153895178912824
8,-0.00022037262694716195,-0.00022500766966342212,-0.0002505625064283662,-0.0002966576104528746,-0.0003626084018671747,-0.00044743541473549474,-0.0005498788435611058,-0.0006684172532448048,-0.000801290174626534,-0.000946524250033274,-0.0011019625405333901,-0.0012652965596418211,-0.0014341005577285868,-0.0016058675479569714,-0.0017780465387132098,-0.0019480804195717348,-0.002113443938133636,-0.0022716812037268524,-0.0024204421609829115,-0.002557517491604336,-0.0026808714259801913,-0.002788671977349243,-0.0028793181494890224,-0.002951463713856773,-0.003004037203056889,-0.003036257823702488,-0.0030476470523418423,-0.003038035742233148,-0.003007566635421616,-0.0029566922428108347,-0.0028861681237124714,-0.002797041664682868,-0.0026906365242971957,-0.0025685329748791693,-0.0024325444331403374,-0.002284690528283518,-0.002127167107548318,-0.001962313624660579,-0.0017925783955149055,-0.0016204822370944312,-0.0014485810296431213,-0.0012794277580972636,-0.001115534596516458,-0.0009593355986161195,-0.000813150548501367,-0.0006791505084723828,-0.000559325575566451,-0.00045545532569950004,-0.0003690823843549054,-0.0003014895163335901,-0.0002536805748162079,-0.0002263655926717709,-0.00021995023742863888,-0.00023452978651702968,-0.00026988771225948806,-0.0003254988976243416,-0.000400537434983423,-0.0004938888920511295,-0.000604166862837608,-0.0007297335578101659,-0.0008687241274688066,-0.0010190743580951983,-0.0011785513283524194,-0.001344786571440371,-0.001515311250299818,-0.00168759282346205,-0.0018590726570023714,-0.002027204024004814,-0.002189489927190309,-0.002343520182986907,-0.0024870072162890273,-0.0026178200343014383,-0.0027340158749062588,-0.0028338690595284244,-0.002915896621992444,-0.0029788803327440512,-0.003021884791345032,-0.00304427131854101,-0.0030457074415846793,-0.0030261718319434996,-0.0029859546220596623,-0.0029256530964580202,-0.0028461628211952526,-0.002748664343391032,-0.002634605658372646,-0.0025056807048216266,-0.0023638042073010263,-0.002211083239788699,-0.0020497859325397665,-0.0018823077870272762,-0.001711136099233556,-0.0015388130196584784,-0.0013678977986578168,-0.0012009287778236392,-0.001040385691890387,-0.0008886528410388987,-0.000747983680543315,-0.0006204673536567188,-0.0005079976647711652,-0.000412244953646158,-0.00033463128841451596
9,-0.00028936585031498366,-0.00029699456617706776,-0.0003313050453190447,-0.00039178772682680235,-0.0004775443542128829,-0.0005873013158421553,-0.0007194285599317121,-0.0008719638032094732,-0.0010426416736974548,-0.0012289273548066952,-0.0014280542310795943,-0.001637064976485291,-0.0018528554750466178,-0.002072220921513028,-0.0022919034174167076,-0.0025086403556409467,-0.0027192128749186834,-0.0029204936646412445,-0.0031094934100054147,-0.0032834051877206082,-0.0034396461529346486,-0.003575895898266265,-0.00369013091525638,-0.003780654646435176,-0.0038461226816876746,-0.0038855627247148285,-0.0038983890330589344,-0.0038844111172378283,-0.003843836569792954,-0.0037772679822357905,-0.0036856939956805062,-0.0035704746180740985,-0.0034333210260845846,-0.003276270151618951,-0.0031016544303981656,-0.002912067161867457,-0.00271032399489772,-0.00249942111127213,-0.0022824907279942568,-0.00206275457927377,-0.001843476069050387,-0.0016279118046612616,-0.001419263231447809,-0.001220629086599229,-0.001034959378362358,-0.0008650115740946494,-0.0007133096478314304,-0.0005821065955713711,-0.00047335097498302735,-0.0003886579664668984,-0.0003292853853586378,-0.00029611500152737464,-0.00028963944380048324,-0.0003099548837033225,-0.00035675960717107715,-0.0004293584954449527,-0.000526673348604763,-0.0006472588984183854,-0.0007893242726937542,-0.0009507595923563208,-0.0011291673062463574,-0.0013218977982685242,-0.0015260887380750794,-0.0017387075908678476,-0.00195659665498552,-0.0021765199584025383,-0.0023952113176575755,-0.0026094228454661265,-0.0028159731866080496,-0.00301179476571648,-0.0031939793452689467,-0.0033598212171781433,-0.0035068573865235514,-0.0036329041506366574,-0.00373608953028698,-0.0038148810713178674,-0.003868108603837319,-0.0038949816209563376,-0.0038951010189751034,-0.0038684650246580054,-0.0038154692215687704,-0.0037369006750746533,-0.0036339262432718796,-0.0035080752474322993,-0.003361216759340563,-0.003195531842838055,-0.0030134811618274383,-0.0028177684358063823,-0.002611300285669395,-0.002397143066126461,-0.002178477325840366,-0.0019585505716163422,-0.00174062903816526,-0.0015279491797299143,-0.0013236696039947945,-0.0011308241621315984,-0.0009522768916616809,-0.0007906794813002116,-0.0006484318894914092,-0.0005276467015073267,-0.0004301177544595255
